# version=1
level,xp_required
1,0
2,1050
3,1655
4,2320
5,3050
6,3855
7,4740
8,5715
9,6785
10,7965
11,9260
12,10685
13,12255
14,13980
15,15880
16,17970
17,20265
18,22790
19,25570
20,28630
21,31995
22,35695
23,39765
24,44240
25,49165
26,54580
27,60540
28,67095
29,74305
30,82235
31,90960
32,100555
33,111110
34,122725
35,135500
36,149550
37,165005
38,182005
39,200705
40,221275
41,243905
42,268800
43,296180
44,326300
45,359430
46,395875
47,435965
48,480065
49,528575
50,581935
51,640630
52,705195
53,776215
54,854340
55,940275
56,1034805
57,1138790
58,1253170
59,1378990
60,1517390
61,1669630
62,1837095
63,2021305
64,2223940
65,2446835
66,2692020
67,2961725
68,3258400
69,3584740
70,3943715
71,4338590
72,4772950
73,5250745
74,5776320
75,6354455
76,6990405
77,7689945
78,8459440
79,9305885
80,10236975
81,11261175
82,12387795
83,13627075
84,14990285
85,16489815
86,18139300
87,19953735
88,21949610
89,24145075
90,26560085
91,29216595
92,32138755
93,35353135
94,38888950
95,42778350
96,47056690
97,51762860
98,56939650
99,62634120
100,68898035
